time,original,filtered
0.000000,0.000000,0.000000
0.001000,0.784545,0.000000
0.002000,0.881678,-0.001648
0.003000,0.515124,-0.006794
0.004000,0.475528,-0.015737
0.005000,1.000000,-0.024200
0.006000,1.426585,-0.022004
0.007000,1.102910,0.003749
0.008000,0.293893,0.063099
0.009000,-0.166511,0.159511
0.010000,-0.000000,0.289164
0.011000,0.166511,0.442136
0.012000,-0.293893,0.602388
0.013000,-1.102910,0.747964
0.014000,-1.426585,0.853236
0.015000,-1.000000,0.894688
0.016000,-0.475528,0.856851
0.017000,-0.515124,0.735782
0.018000,-0.881678,0.539281
0.019000,-0.784545,0.285278
0.020000,-0.000000,-0.000000
0.021000,0.784545,-0.285278
0.022000,0.881678,-0.540928
0.023000,0.515124,-0.742576
0.024000,0.475528,-0.872588
0.025000,1.000000,-0.918888
0.026000,1.426585,-0.875240
0.027000,1.102910,-0.744215
0.028000,0.293893,-0.539289
0.029000,-0.166511,-0.282626
0.030000,-0.000000,-0.000000
0.031000,0.166511,0.282626
0.032000,-0.293893,0.539289
0.033000,-1.102910,0.744215
0.034000,-1.426585,0.875240
0.035000,-1.000000,0.918888
0.036000,-0.475528,0.872588
0.037000,-0.515124,0.742576
0.038000,-0.881678,0.540928
0.039000,-0.784545,0.285278
0.040000,-0.000000,0.000000
0.041000,0.784545,-0.285278
0.042000,0.881678,-0.540928
0.043000,0.515124,-0.742576
0.044000,0.475528,-0.872588
0.045000,1.000000,-0.918888
0.046000,1.426585,-0.875240
0.047000,1.102910,-0.744215
0.048000,0.293893,-0.539289
0.049000,-0.166511,-0.282626
0.050000,0.000000,0.000000
0.051000,0.166511,0.282626
0.052000,-0.293893,0.539289
0.053000,-1.102910,0.744215
0.054000,-1.426585,0.875240
0.055000,-1.000000,0.918888
0.056000,-0.475528,0.872588
0.057000,-0.515124,0.742576
0.058000,-0.881678,0.540928
0.059000,-0.784545,0.285278
0.060000,-0.000000,0.000000
0.061000,0.784545,-0.285278
0.062000,0.881678,-0.540928
0.063000,0.515124,-0.742576
0.064000,0.475528,-0.872588
0.065000,1.000000,-0.918888
0.066000,1.426585,-0.875240
0.067000,1.102910,-0.744215
0.068000,0.293893,-0.539289
0.069000,-0.166511,-0.282626
0.070000,0.000000,-0.000000
0.071000,0.166511,0.282626
